Instituição,Título,Data de Lançamento,Prazo,Link,Documentos,Documentos Relacionados
CNPq,Chamada Pública MCTI/CNPq/MIR/MMulheres/MPI Nº 20/2026 Atlânticas - Programa Beatriz Nascimento de Mulheres na Ciência,30/06/2026,,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-20-2026/chamada-publica-cnpq-N-20-2026,1,
FINEP,BRICs - CHAMADA PÚBLICA Cooperação Multilateral em Inovação,30/06/2026,14/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/991625,1,
CNPq,Chamada Pública CNPq/CAPES/MRE N° 16/2026 - Programa de Estudantes-Convênio de Pós-Graduação (PEC-PG),29/06/2026,13/08/2026,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-16-2026/chamada-publica-cnpq-N-16-2026,1,
FINEP,FIP Conexões Startups – 2026,24/06/2026,12/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/986129,1,
CNPq,Chamada CNPq/MinC nº 17/2026 - Apoio ao funcionamento de incubadoras voltadas à Economia Criativa,19/06/2026,10/08/2026,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-17-2026/chamada-publica-cnpq-N-17-2026,1,
FINEP,Subvenção Descentralizada Seleção de Parceiros em Fluxo Contínuo - Pró Amazônia Empreende,18/06/2026,01/12/2026,https://www.finep.gov.br/e/chamada-publica/222684/972778,1,
CNPq,Chamada CNPq/FNDCT nº 06/2026 – UNIVERSAL,17/06/2026,03/08/2026,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-06-2026/chamada-publica-cnpq-N-06-2026,1,
FINEP,DESAFIO TECNOLÓGICO ELETROLISADOR NACIONAL,16/06/2026,21/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/968467,1,
FINEP,CARTA CONVITE MCTI/FINEP - PROGRAMA TECNOVA 2026/2027,12/06/2026,03/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/958302,1,
FAPESB,DIRETRIZES ESPECÍFICAS DA FAPESB – CHAMADA MOBILITY CONFAP ITALY 2026,10/06/2026,,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-mobility-confap-italy-2026/,1,
FAPESB,Edital 009/2026 – Apoio a Organização de Eventos,09/06/2026,,https://www.fapesb.ba.gov.br/edital-0092026-apoio-a-organizacao-de-eventos/,1,
FINEP,MANUTENÇÃO UNIDADES DE PESQUISA MCTI – PROINFRA 2026,29/05/2026,07/07/2026,https://www.finep.gov.br/e/chamada-publica/222684/945796,1,
CNPq,Chamada Pública CNPq N° 07/2026 - Programa Institucional de Bolsas de Pós-Graduação (PIBPG),28/05/2026,05/08/2026,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-07-2026/chamada-publica-cnpq-N-07-2026,1,
FINEP,CARTA CONVITE MCTI/FINEP/FNDCT - PROMOÇÃO DA AUTONOMIA TECNOLÓGICA NA ÁREA DA DEFESA,26/05/2026,18/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/943682,1,
CAPES,"Edital nº 10/2026 - Programas CAPES/MATH/STIC/CLIMAT-AMSUD, formato - pdf, 283kb",15/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/copy2_of_15042026_Edital_2803264_SEI_2802205_Edital_10_2026.pdf,3,"Alteração Edital nº 10/2026 - Programas CAPES/MATH/STIC/CLIMAT-AMSUD, formato - pdf, 53,1kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25052026_Edital_2826286_SEI_2825187_Edital_10_2026___alteracao.pdf ; Alteração do Edital  nº 10/2026 - Programas CAPES/MATH/STIC/CLIMAT-AMSUD, formato - pdf, 53,1kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25052026_Edital_2826286_SEI_2825187_Edital_10_2026___alteracao.pdf"
CAPES,"Edital nº 12/2026 - Programa CAPES/MES-CUBA - Projetos , formato, pdf, 222kb",23/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/23042026_Edital_2806973_SEI_2806062_Edital_12_2026.pdf,3,"Lista de inscritos do Edital nº 12/2026 - Programa CAPES/MES-CUBA - Projetos, formato, pdf, 148kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/lista_listagem_2857109_lista_de_inscritos_projetos.pdf/@@display-file/file ; Alteração Edital nº 12/2026 - Programa CAPES/MES-CUBA - Projetos , formato, pdf, 53,1kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25052026_Edital_2826296_SEI_2825183_Edital_12_2026___ALTERACAO.pdf"
CAPES,"Edital nº 13/2026 - Programa CAPES/MES-CUBA - Docentes , formato, pdf, 123kb",23/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/23042026_Edital_2806981_SEI_2806195_Edital_13_2026.pdf,3,"Edital nº 13/2026 - Lista de Inscritos, formarto, pdf, 130kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/lista_listagem_2854147_lista_de_inscritos_docentes.pdf/@@display-file/file ; Alteração Edital nº 13/2026 - Programa CAPES/MES-CUBA - Docentes , formato, pdf, 123kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/25052026_Edital_2826299_SEI_2825184_Edital_13_2026___ALTERACAO.pdf"
CNPq,Chamada Pública CNPq/MCTI nº 15/2026 - Programa de Cooperação Afro-Brasileira em Ciência e Tecnologia - PROAFRICA,25/05/2026,31/08/2026,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-15-2026/chamada-publica-cnpq-N-15-2026,1,
CAPES,"Edital Conjunto nº 4/2026, formato, pdf, 310kb",19/05/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19052026_Edital_2823166_EDITAL_CONJUNTO_4_2026___CAPES_CFN.pdf,2,"Prorrogação - Edital Conjunto nº 4/2026, formato, pdf, 52,5kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/documentos/edital_2863852_sei_2863595_edital_conjunto_n__4_2026___prorrogacao.pdf/@@display-file/file"
CAPES,"Edital CAPES Nº 18/2026 - Programa Cátedra Maison Du Brésil - pdf, 122kb",15/05/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15052026_Edital_2821031_SEI_2819915_Edital_18_2026.pdf,3,"Alteração Edital CAPES Nº 18/2026 - Programa Cátedra Maison Du Brésil - pdf, 56,1kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2837190_SEI_2835880_Edital_18__2026___Alteracao.pdf ; Lista de inscritos Edital CAPES Nº 18/2026 - Programa Cátedra Maison Du Brésil - pdf, 116kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/lista_listagem_2853883_lista_de_inscritos.pdf/@@display-file/file"
CAPES,Edital nº 17/2026 - seleção de projetos conjuntos de pesquisa por chamada no âmbito do Programa CAPES - AUGM,13/05/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/copy_of_13052026_Edital_2819298_SEI_2819065_Edital_17_2026.pdf,3,"Edital nº 17/2026 - Relação das Inscrições Recebidas, formato, pdf, 178kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2865911_lista_de_inscritos.pdf/@@display-file/file ; Edital nº 17/2026 - Prorrogação, formato, pdf, 52,5kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2850525_sei_2848632_edital_n__17_2026.pdf/@@display-file/file"
CAPES,"Edital nº 26/2025 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 96kb",22/12/2025,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/22122025_Edital_2740775.pdf,2,"Alteração do edital nº 26/2025 - Política de Novação para Bolsistas e Ex-Bolsistas no Exterior, formato - pdf, 60,5kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/11052026_Edital_2817202_SEI_2816655_Edital_n__26_2025___Alteracao.pdf"
FAPESB,CHAMADA CONFAP/ERC 2026 – CALL RESEARCH OPPORTUNITIES IN EUROPE FOR ACTIVE PHD RESEARCHERS FROM BRAZIL,07/05/2026,10/07/2026,https://www.fapesb.ba.gov.br/chamada-confaperc-2026-call-research-opportunities-in-europe-for-active-phd-researchers-from-brazil/,1,
CAPES,"Edital nº 15/2026 - Programa de Desenvolvimento Profissional para Professores de Língua Inglesa nos EUA - PDPI - pdf, 134kb",30/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/30042026_Edital_2811434_SEI_2811079_Edital_15_2026.pdf,1,
CAPES,"Edital conjunto ProEB e Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edição Moçambique nº 3/2026 - formato, pdf, 128kb",28/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/28042026_Edital_2809885_SEI_2804920_Edital_Conjunto_3_2026.pdf,4,"Alteração - Edital Conjunto nº 3/2026 - ProEB e Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul - Edição Moçambique | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2827276_SEI_2826404_Edital_Conjunto_n__3_2026.pdf ; Retificação - Edital Conjunto nº 3/2026 - ProEB e Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul - Edição Moçambique | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2824561_Edital_Conjunto_n__03.2026.pdf ; Alteração - Edital conjunto ProEB e Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edição Moçambique nº 3/2026 - formato, pdf, 64,1kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2858440_sei_2857414_edital_conjunto_n__3_2026___alteracao.pdf/@@display-file/file"
CNPq,Chamada CNPq/SETEC/MCTI N° 13/2026 - Apoio a Eventos de Promoção do Empreendedorismo e da Inovação no Brasil,28/04/2026,,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-13-2026/chamada-publica-cnpq-N-13-2026,1,
CAPES,"Edital nº 11/2026 - Programa Cátedra Jorge Amado, formato, pdf, 196kb",23/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/23042026_Edital_2806958_SEI_2806040_Edital_11_2026.pdf,1,
CAPES,"Edital nº 5/2026 - Programa CAPES - PURDUE deProjetos conjuntos de pesquisa, formato, pdf, 257kb",09/03/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/09032026_Edital_2780596_SEI_2779319_Edital_5__de_2026.pdf,5,"Lista de inscritos do Edital nº 5/2026 - Programa CAPES - PURDUE de Projetos conjuntos de pesquisa, formato, pdf, 144kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Lista_Listagem_2841625_Lista_de_inscritos.pdf/@@display-file/file ; Alteração do Edital nº 5/2026 - Programa CAPES - PURDUE de Projetos conjuntos de pesquisa, formato, pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15042026_Edital_2803256_SEI_2801466_Edital_5__de_2026.pdf/@@display-file/file ; Edital nº 5/2026 - Programa CAPES - PURDUE de Projetos conjuntos de pesquisa, formato, pdf, 257kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/09032026_Edital_2780596_SEI_2779319_Edital_5__de_2026.pdf/@@display-file/file ; Alteração do Edital nº 5/2026 - Programa CAPES - PURDUE deProjetos conjuntos de pesquisa,formato, pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/15042026_Edital_2803256_SEI_2801466_Edital_5__de_2026.pdf"
CAPES,"Edital CAPES/DAAD Probral nº 08/2026, formato - pdf, 214kb",01/04/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/01042026_Edital_2795382_SEI_2794361_Edital_8__de_2026.pdf,3,"Lista de Inscritos - Edital nº 08/2026, formato - pdf, 199 kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/lista_listagem_2841542_lista_de_inscritos.pdf/@@display-file/file ; Alteração do Edital CAPES/DAAD Probral nº 08/2026, formato - pdf, 48kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/13042026_Edital_2801456_SEI_2800616_Edital_8_2026.pdf"
FINEP,FIP Startup Inteligência Artificial,09/04/2026,28/05/2026,https://www.finep.gov.br/e/chamada-publica/222684/756012,1,
CAPES,"Edital n° 14/2022 - formato, pdf, 380kb",,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/08062022_Lista_Listagem_1727316_Humboldt.pdf/@@display-file/file,11,"Lista de Inscritos no Edital nº 14/2022 do Programa de Bolsas para Pesquisa CAPES/Humboldt - 26° chamada | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Lista_de_inscritos_26_chamada.pdf/@@display-file/file ; Lista de inscritos - Chamada nª 23 do Edital n° 14/2022 - formato, pdf, 396kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/18122024_SEI_CAPES___2508050___Edital_Minuta_ok.pdf/@@display-file/file ; Lista de inscritos - Chamada nº 22 do Edital n° 14/2022 - formato, pdf, 99kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/17062024_Lista_Listagem_2395643_Lista_de_inscritos.pdf/@@display-file/file ; Lista de inscritos - Chamada nº 21 do Edital n° 14/2022 - formato, pdf, 151kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/22122023_Lista_Listagem_2297511_Lista_de_inscritos_21_.pdf/@@display-file/file ; Lista de inscritos - Chamada nª 20 do Edital 14/2022, formato , pdf, 391kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/Lista_Listagem_2001777_Lista_de_inscritos_final_2.pdf/@@display-file/file ; Relação final das inscrições recebidas - Chamada nº 19 do Edital n° 14/2022 - formato, pdf, 380kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/13122022_Lista_Listagem_1874367_Lista_Inscritos_Humboldt__1_.pdf/@@display-file/file ; Relação das inscrições recebidas do Editaln°14/2022 - formato, pdf, 372kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/20092022_Lista_Listagem_1805835_Lista_Final_Humboldt_pdf_para_word_edital_14_22.pdf/@@display-file/file ; Lista de Inscritos - Chamada nº 24 do Edital nº 14/2022 - formato, pdf, 150kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/17062025_Lista_Listagem_2616980_Lista_de_inscritos_24_chamada.pdf ; Lista de Inscritos - Chamada nº 25 do Edital nº 14/2022 - formato, pdf, 241kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/17122025_Lista_Listagem_2735806_SEI___23038.004870_2021_69_25__chamada.pdf ; Alteração do Edital n° 14/2022 - formato, pdf, 49kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/06042026_Edital_2797322_SEI_2796265_Edital_14__de_2022.pdf"
CAPES,"Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesPanamá, Angola e México, formato pdf, 151kb",09/01/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/09012026_Edital_2748950_SEI_2748603_Edital_Conjunto_n__1_2026.pdf,13,"Prorrogação Edital Conjunto nº 1/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México, formato pdf, 65,6kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/edital_2855428_sei_2855023_edital_conjunto_n__1_2026___prorrogacao.pdf/@@display-file/file ; Lista de inscritos Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Angola e México, formato pdf, 435kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/01042026_Lista_Listagem_2788855_Lista_de_inscritos_Angola_e_Mexico.pdf/@@display-file/file ; Lista de inscritos Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México, formato pdf, 421kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/12032026_Lista_Listagem_2780399_Lista_de_Inscritos_Panama.pdf/@@display-file/file ; Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México - Retificação do Cumprimento de decisão judicial, formato pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/13022026_Edital_2768872_SEI_2768349_Edital_Conjunto_n__1_2026____Retificacao_de_Decisao_Judicial.pdf/@@display-file/file ; Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México - Cumprimento de decisão judicial, formato pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/11022026_Edital_2766993_SEI_2766572_Edital_Conjunto_1_2026_.pdf/@@display-file/file ; Alteração do edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México, formato pdf, 81kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/03022026_Edital_2762271_SEI_2757276_Edital_Conjunto_n__1_2026_CAPES_MIR_____1_.pdf/@@display-file/file ; Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  Edições Panamá, Angola e México, formato pdf, 151kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/09012026_Edital_2748950_SEI_2748603_Edital_Conjunto_n__1_2026.pdf/@@display-file/file ; Alteração do edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesPanamá, Angola e México, formato pdf, 81kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/03022026_Edital_2762271_SEI_2757276_Edital_Conjunto_n__1_2026_CAPES_MIR_____1_.pdf ; Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesPanamá, Angola e México - Cumprimento de decisão judicial, formato pdf, 51kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/11022026_Edital_2766993_SEI_2766572_Edital_Conjunto_1_2026_.pdf ; Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesPanamá, Angola e México - Retificação do Cumprimento de decisão judicial, formato pdf, 52kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/13022026_Edital_2768872_SEI_2768349_Edital_Conjunto_n__1_2026____Retificacao_de_Decisao_Judicial.pdf ; Lista de inscritos Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesPanamá, Angola e México, formato pdf, 421kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/12032026_Lista_Listagem_2780399_Lista_de_Inscritos_Panama.pdf ; Lista de inscritos Edital Conjunto nº 01/2026 - Programa Caminhos Amefricanos: Programa de Intercâmbios Sul-Sul -  EdiçõesAngola e México, formato pdf, 435kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/resultados-dos-editais/01042026_Lista_Listagem_2788855_Lista_de_inscritos_Angola_e_Mexico.pdf"
CAPES,"Edital nº 07/2026 - CAPES/Cofecub, formato, pdf, 545kb",30/03/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/30032026_EDITAL72026CAPESCOFECUB.pdf,3,"Alteração do Edital nº 07/2026 - CAPES/Cofecub, formato, pdf, 143kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Edital_2832325_EDITAL_7_2026___ALTERACAO.pdf ; Lista de inscritos  no Edital n° 7/2026 - Programa CAPES/COFECUB, formato, pdf, 116kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/Lista_Listagem_2841501_Lista_de_inscritos.pdf/@@display-file/file"
FAPESB,DIRETRIZES ESPECÍFICAS DA FAPESB – CHAMADA 2026 CONFAP – BRASILLINOIS,25/03/2026,26/05/2026,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-2026-confap-brasillinois/,1,
FINEP,Agricultura familiar para ICTs 2026,25/03/2026,03/07/2026,https://www.finep.gov.br/e/chamada-publica/222684/755892,1,
FINEP,Ecossistema Tecnológico de Biorrefino,25/03/2026,08/06/2026,https://www.finep.gov.br/e/chamada-publica/222684/755795,1,
CAPES,"Edital nº 06/2026 Programa Rede de Pesquisa e Desenvolvimento da Amazônia Legal - formato, pdf, 168kb",20/03/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/20032026_Edital_2787827_SEI_2787352_Edital_6_2026.pdf,1,
FINEP,Prêmio Mulheres Inovadoras – 7ª edição – 2026,13/03/2026,11/05/2026,https://www.finep.gov.br/e/chamada-publica/222684/755727,1,
FINEP,Finep Mais Inovação Brasil - Rodada 2 – Tecnologias Digitais,12/03/2026,30/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/755485,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Semicondutores,12/03/2026,30/09/2026,https://www.finep.gov.br/e/chamada-publica/222684/755605,1,
FAPESB,EDITAL FAPESB N° 05/2026 MOVE 2026 – PARTICIPAÇÃO DE PESQUISADORES EM EVENTOS NO EXTERIOR,10/03/2026,,https://www.fapesb.ba.gov.br/edital-fapesb-n-052026-move-2026-participacao-de-pesquisadores-em-eventos-no-exterior/,1,
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Mobilidade Sustentável,06/03/2026,31/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/755376,1,
FAPESB,Chamada Fundação de Amparo à Pesquisa da Bahia/SECTI/SEMA/FGB nº 01/2026,04/03/2026,,https://www.fapesb.ba.gov.br/chamada-fundacao-de-amparo-a-pesquisa-da-bahiasectisemafgb-no-012026/,1,
FAPESB,EDITAL FAPESB/SECTI/IEL nº 004/2026 – Chamada Estratégica FAPESB/SECTI/IEL,04/03/2026,,https://www.fapesb.ba.gov.br/edital-fapesbsectiiel-no-0042026-chamada-estrategica-fapesbsectiiel/,1,
CAPES,"Edital nº 2/2026 - Pé-de-Meia Licenciaturas - formato, pdf, 81kb",16/01/2026,,https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/16012026_Edital_2753123_SEI_2753038_Edital_2_2026.pdf,2,"Alteração do edital nº 2/2026 - Pé-de-Meia Licenciaturas - formato, pdf, 55kb | https://www.gov.br/capes/pt-br/centrais-de-conteudo/editais/19022026_Edital_2769828_SEI_2769557_Edital__2_2026.pdf"
FINEP,Finep Mais Inovação Brasil – Rodada 2 – Economia Circular e Cidades Sustentáveis,13/02/2026,31/08/2026,https://www.finep.gov.br/e/chamada-publica/222684/755213,1,
